user_id,post_id,action
22,511,share
59,526,like
47,146,view
14,225,view
52,369,view
40,482,view
43,499,view
66,425,view
66,200,share
45,280,like
83,518,view
14,175,view
23,409,view
98,436,view
99,422,view
97,389,comment
58,449,share
73,430,like
80,266,comment
81,262,view
9,341,view
39,508,view
8,281,like
40,337,view
8,289,comment
10,431,comment
12,415,like
50,337,like
95,559,view
74,434,view
78,344,like
8,331,view
44,466,view
83,189,view
91,325,share
68,368,like
47,291,share
50,310,comment
87,407,view
81,432,view
43,149,like
50,246,view
85,594,share
20,271,view
85,173,share
40,596,like
85,301,view
91,581,view
72,293,like
43,517,view
90,525,share
88,568,like
83,444,view
47,110,view
24,587,view
99,349,view
18,180,view
13,360,comment
95,553,like
85,273,comment
80,168,like
20,184,view
89,495,like
22,470,view
53,287,like
31,597,view
37,486,like
58,220,like
40,595,comment
61,563,comment
48,448,share
57,337,comment
100,296,like
54,595,view
26,511,like
33,127,like
48,384,share
92,534,like
16,246,view
21,240,view
66,176,comment
12,585,share
58,553,view
4,313,view
65,292,view
11,292,view
41,577,view
92,433,view
19,171,view
61,457,comment
98,462,view
79,103,share
3,232,view
20,381,share
78,371,view
100,248,view
16,125,view
82,507,like
9,157,comment
64,406,like
81,364,like
92,174,view
1,415,view
74,314,view
86,144,like
47,135,share
70,360,comment
65,384,view
61,123,like
48,230,like
46,504,view
31,476,like
14,496,like
97,271,view
46,380,view
83,190,comment
88,338,share
62,424,view
18,133,like
59,119,view
6,506,view
6,262,share
66,304,share
70,343,view
97,432,view
46,542,comment
84,270,view
48,324,comment
96,326,comment
50,274,share
64,455,view
67,237,comment
94,318,view
78,522,view
38,265,view
42,439,view
58,409,like
22,454,view
58,122,like
46,415,share
36,428,share
8,139,like
52,287,like
96,448,view
4,174,comment
87,501,view
17,135,view
83,288,view
73,117,like
87,331,share
48,328,comment
74,171,like
51,261,like
32,592,view
95,196,view
50,568,like
34,497,view
58,210,share
37,456,share
63,203,view
10,332,view
92,328,share
88,596,comment
41,442,view
9,382,like
39,536,view
91,575,like
23,507,view
29,163,share
18,222,comment
4,285,like
48,340,comment
71,167,like
12,134,view
92,469,view
53,494,view
74,138,view
41,429,view
60,449,like
17,550,comment
71,428,like
99,595,view
65,567,comment
16,366,view
22,183,view
91,216,view
67,559,view
11,229,view
71,241,view
39,415,like
65,429,view
75,179,view
80,469,share
44,532,share
6,523,comment
11,124,share
99,396,view
27,493,like
80,428,view
81,380,view
39,348,view
88,308,view
10,453,view
57,313,view
27,275,like
41,542,like
94,541,view
52,167,comment
66,388,view
31,339,view
58,227,view
7,249,share
79,315,view
21,517,view
74,470,view
98,182,view
66,340,view
40,355,view
51,359,view
31,211,like
7,126,view
77,552,comment
87,341,view
2,534,view
18,552,view
47,492,view
6,306,view
72,200,view
37,138,view
58,492,like
80,449,like
17,600,view
48,507,share
72,581,view
19,202,like
52,357,view
5,171,like
61,366,view
78,558,like
42,577,like
21,302,share
95,532,view
44,360,comment
69,351,like
39,344,comment
48,270,like
54,399,view
93,547,like
4,406,view
84,501,share
75,396,view
7,399,view
68,423,like
100,531,view
88,225,view
90,157,view
57,261,view
53,454,view
65,497,like
61,547,comment
94,132,like
67,207,like
85,345,like
41,590,view
69,276,like
87,496,comment
88,430,comment
34,413,view
32,243,like
29,583,share
39,495,view
27,454,like
41,346,view
93,241,view
74,447,like
51,520,view
99,512,view
6,248,share
11,278,share
84,232,like
28,204,comment
35,578,like
35,171,view
95,401,view
7,443,share
29,427,view
13,312,view
61,152,like
18,103,share
21,309,like
61,345,like
97,594,view
37,431,view
99,146,like
30,374,like
5,568,share
54,552,comment
5,529,view
64,196,share
38,549,view
39,391,like
43,246,view
83,379,like
18,536,like
35,199,comment
43,184,like
83,232,like
2,478,view
38,391,like
25,190,like
82,560,view
55,364,view
52,443,view
18,345,view
32,104,view
31,329,comment
43,255,like
74,106,view
47,455,view
86,161,view
21,308,like
91,495,view
16,428,share
38,289,like
29,591,view
20,333,like
78,292,view
71,568,view
69,511,like
28,491,view
97,406,comment
11,370,view
91,286,view
73,158,view
71,563,like
74,375,view
42,538,like
15,449,view
75,351,view
66,329,comment
59,168,like
59,389,view
60,445,comment
93,112,view
1,482,view
10,124,view
90,133,like
8,579,comment
61,117,view
24,494,view
83,474,like
54,292,share
49,330,comment
49,293,view
85,548,like
84,541,view
23,376,view
17,473,share
1,488,view
39,338,like
70,318,like
30,227,view
20,242,view
93,492,view
85,315,like
3,224,view
13,405,view
77,445,like
7,226,like
52,325,view
28,487,comment
8,172,like
38,220,comment
94,395,view
77,496,like
42,222,view
19,439,like
53,254,view
72,586,like
95,567,view
87,319,like
7,598,view
83,444,view
68,264,like
53,177,view
24,487,like
31,535,view
91,174,comment
8,388,view
54,386,like
50,225,view
43,432,view
58,534,view
69,471,comment
7,238,view
78,409,view
10,197,comment
76,471,like
28,346,view
43,256,share
2,209,share
95,161,like
97,346,share
90,410,like
51,569,view
42,498,view
60,374,like
40,234,view
64,339,view
93,341,comment
41,569,view
41,312,view
29,480,view
34,384,share
75,469,view
20,201,view
49,392,comment
64,382,like
88,273,view
63,595,like
95,352,view
94,508,view
18,469,like
24,570,comment
83,591,view
5,530,comment
86,125,comment
53,171,comment
30,135,like
2,212,like
48,131,like
86,579,like
62,438,view
1,373,like
2,109,like
36,375,share
3,358,comment
87,321,comment
23,155,share
68,177,view
80,370,view
46,237,comment
11,292,share
59,390,view
90,216,view
11,435,share
84,489,view
52,295,view
61,129,like
90,188,view
56,431,comment
73,540,share
68,571,view
28,562,comment
73,344,view
10,451,share
70,389,like
23,576,comment
3,593,view
19,486,comment
51,576,view
21,389,view
50,447,comment
43,297,comment
18,505,share
93,141,like
45,128,view
30,530,view
78,494,like
77,304,share
42,116,like
58,352,view
71,582,view
24,449,like
49,144,comment
38,509,view
10,143,view
49,465,comment
20,479,view
47,155,view
40,328,view
35,153,view
24,321,view
72,363,view
4,146,view
12,406,like
42,543,view
38,312,view
11,472,share
32,393,like
88,295,view
35,255,view
19,133,view
36,316,view
10,285,view
32,470,like
77,416,view
14,170,view
51,271,comment
49,512,comment
57,272,view
84,599,like
39,265,like
89,203,view
23,594,view
41,250,like
82,352,share
32,267,view
51,287,view
73,203,like
70,193,like
71,114,share
60,583,like
57,509,view
89,136,comment
53,445,view
82,256,view
85,179,like
49,138,view
77,346,like
69,360,share
89,315,like
47,460,comment
69,405,like
11,156,comment
85,441,view
83,414,view
83,447,like
97,270,share
56,155,view
34,214,like
67,386,like
74,214,view
51,338,comment
76,454,like
45,113,view
38,313,share
11,160,comment
94,173,view
44,334,comment
67,348,view
13,325,like
58,264,view
6,515,like
3,535,view
14,447,comment
95,225,like
71,182,view
55,591,view
52,423,view
82,437,view
4,478,like
26,331,like
50,103,like
27,243,comment
9,396,view
69,196,view
26,335,view
86,542,view
82,261,like
79,301,like
45,281,comment
80,189,comment
91,510,view
79,403,view
18,261,view
40,160,view
89,173,like
54,406,view
50,317,view
82,376,like
83,577,share
72,186,view
18,196,view
58,418,view
46,588,view
18,200,comment
72,359,like
53,451,view
91,531,view
22,143,like
98,213,view
36,216,like
22,500,view
96,496,comment
71,362,view
15,238,comment
47,378,comment
6,490,like
70,212,share
14,477,comment
97,227,view
5,331,view
12,325,comment
16,498,comment
27,516,like
89,280,comment
79,424,view
79,172,comment
27,513,view
45,373,view
69,187,view
91,250,view
35,588,comment
87,518,view
97,503,view
8,242,comment
17,460,comment
32,175,like
32,490,comment
51,351,view
81,238,like
49,332,view
99,148,view
96,243,like
48,333,share
42,398,view
100,534,like
94,598,view
86,458,view
9,508,like
28,596,view
28,354,view
37,273,like
17,390,comment
44,558,like
7,124,view
59,109,view
21,326,view
55,204,share
17,552,like
21,548,share
36,148,like
33,143,view
84,185,view
81,257,like
97,220,view
12,461,view
